Index,Red Water STD,Red Non-Water STD,Green Water STD,Green Non-Water STD,Blue Water STD,Blue Non-Water STD
6368,11.71107603,44.49377168,14.9595825,38.78614344,19.61137407,31.98006561
6369,16.99967192,11.94483286,20.56261653,13.06642625,26.60228029,14.30667652
6370,25.98644604,3.850533234,27.41212105,5.224494215,33.62979347,11.59605154
6371,23.65840283,23.88649728,29.10233888,28.50558764,30.46603132,32.81164466
6372,17.1302903,70.47975478,18.91506797,67.72039497,31.31052045,39.8480021
6373,20.2444518,7.036619849,27.92429429,10.11067034,42.93164966,8.487381161
6374,32.98735185,2.270272776,38.11325151,2.585369878,49.23237853,3.69290864
6375,23.88704197,35.64330548,28.02108387,40.68727975,37.19897643,48.07909357
6376,14.39906898,29.95563103,17.29576414,25.71059611,22.1172857,18.16080258
6377,15.03816823,5.530614584,19.01919461,8.847459251,29.41201634,11.429458
6378,17.59036156,39.67806243,21.12614184,37.97972247,30.87947196,35.69126959
6379,--,54.62840492,--,58.78916889,--,64.38471585
6381,20.39953874,7.278013246,24.54324066,8.154500475,32.10343849,10.17429279
6382,13.32583162,23.82421128,16.55093043,22.8693159,27.15266038,15.78006561
6383,9.935573893,46.40889519,12.48439754,45.90596873,18.48370215,37.11288257
6384,22.03379442,9.224663512,25.15409836,15.14100976,31.58299556,14.80866393
6385,17.69994534,14.68489104,22.02781633,17.38514573,27.85391234,21.85627214
6386,16.3044245,10.34132914,21.66954789,9.157236168,33.85840418,7.145419512
6387,24.13777286,11.02918187,26.99063648,14.38284797,35.02475287,15.63965206
6389,--,50.35925077,--,57.229622,--,69.97846896
6390,41.43750321,32.16714309,47.34441265,34.32855044,53.89732523,40.00469666
6396,23.9367907,37.29731871,25.90934352,40.95404116,33.46001242,52.52600495
6397,17.56954283,36.80750451,20.94201962,42.94906612,35.15721872,54.95164307
6398,22.1256662,22.90321651,23.39195656,21.00273347,28.80561197,18.84354252
6399,30.34553697,6.287918543,31.35502037,11.13059272,34.29040115,9.167183003
6400,16.02437807,20.51561121,18.83432024,20.80144504,26.76767844,14.78987488
6402,42.60542634,14.95551226,45.62114084,21.48276982,49.5490007,25.12584532
6403,19.91555932,16.30607388,24.07453155,17.48522503,33.04234808,22.14729747
6404,12.32270439,44.10662383,12.88056606,46.35943511,24.0799392,42.64040619
6405,19.43105951,16.8620636,24.86633164,13.16300571,39.8005857,8.745442855
